sloc1	scate2	platform	clks	clks_one_day
2360	148	pc	6	0
2363	118	pc	33	4
2363	8608	app	108	15
2372	8608	pc	5	0
2373	36011	app	216	30
2381	343	app	14	2
2389	14379	app	6	0
2389	309	pc	39	5
2390	343	pc	19	2
2393	35984	app	5	0
2394	95	app	1611	230
2395	133	m	19	2
2395	14455	m	2156	308
2395	203	app	147	21
2397	111	pc	16	2
2397	113	m	3	0
2397	26513	m	5	0
2397	8719	app	30	4
2398	14379	pc	12	1
2404	35136	m	4	0
2404	798	app	408	58
2404	8855	pc	7	1
241	8658	pc	186	26
2429	14419	app	110	15
2429	29389	m	54	7
2429	360	m	259	37
2429	8445	m	78	11
2501	196	pc	4	0
265	171	pc	183	26
265	199	app	348	49
276	133	app	109	15
291	145	app	258	36
291	8493	m	94	13
293	125	app	6	0
293	710	pc	15	2
293	97	pc	7	1
296	14455	pc	55	7
297	26523	pc	38	5
3	168	app	5769	824
3	212	app	1727	246
3	37865	app	4	0
304	36488	pc	76	10
3163	8717	pc	15	2
3163	8719	m	30	4
3177	196	app	120	17
319	360	pc	412	58
319	8445	pc	346	49
319	8609	m	57	8
3198	148	app	8	1
3237	128	m	8	1
3237	14286	pc	86	12
3237	8546	m	2	0
3251	102	app	240	34
3251	14354	m	5	0
3251	148	pc	5	0
3266	171	m	25	3
3266	36488	pc	2	0
330	125	m	715	102
330	8543	m	31	4
330	8659	pc	214	30
3328	23087	app	262	37
3328	350	app	32	4
3350	14255	m	3	0
3350	35694	m	87	12
3359	130	pc	26	3
3359	14001	pc	16	2
342	26513	pc	234	33
342	26515	m	87	12
3434	343	app	16	2
3439	26531	app	6	0
3453	199	pc	33	4
3470	145	app	10	1
3470	8493	m	71	10
3489	8752	pc	6	0
355	234	app	1094	156
357	96	app	422	60
362	37861	app	14	2
369	14526	app	40	5
369	8442	m	31	4
369	8558	pc	28	4
37	37862	m	4	0
385	14502	m	214	30
385	38117	pc	5	0
385	8442	pc	74	10
385	8444	m	97	13
394	22431	m	104	14
394	26516	app	110	15
394	8516	m	792	113
399	34323	app	24	3
4	130	pc	2277	325
403	8658	pc	30	4
408	35691	app	6	0
413	14526	app	551	78
413	38115	pc	6	0
413	8442	m	492	70
413	8558	pc	271	38
414	14354	app	2025	289
414	26522	pc	3	0
450	311	m	91	13
455	125	app	69	9
455	710	pc	5	0
455	8543	app	40	5
455	97	pc	4	0
463	14000	m	1679	239
463	207	app	251	35
463	8717	m	35	5
468	37981	app	4	0
471	460	app	529	75
471	712	pc	25	3
483	26517	app	126	18
497	130	m	19	2
497	156	app	881	125
497	35828	pc	46	6
5	148	app	889	127
5	36008	app	233	33
5	8658	m	98	14
500	207	m	1	0
500	34806	app	4	0
502	14455	pc	7	1
502	38118	m	14	2
505	37981	m	13	1
518	152	pc	11	1
518	314	pc	10	1
518	36012	pc	6	0
518	36014	m	21	3
523	23065	app	714	102
523	310	m	422	60
523	41588	pc	3	0
531	186	m	26	3
5333	156	m	184	26
541	130	m	584	83
541	156	app	6630	947
541	35828	pc	120	17
556	22431	m	277	39
556	26516	app	105	15
556	8516	m	1213	173
5653	14354	app	236	33
5653	8658	pc	39	5
5669	37866	app	4	0
5695	34806	app	38	5
5695	8735	m	25	3
5709	14000	pc	24	3
5709	26531	m	19	2
572	22431	pc	40	5
572	26518	app	26	3
572	35691	m	166	23
572	8516	pc	336	48
5733	26523	app	115	16
5733	710	m	33	4
5733	8659	app	10	1
5733	95	pc	201	28
5733	97	m	87	12
5772	8692	pc	1	0
5853	34323	pc	21	3
5898	196	m	10	1
5898	310	app	407	58
5898	356	pc	21	3
5898	35828	pc	31	4
5928	8752	pc	4	0
5942	196	m	12	1
5942	310	app	109	15
5942	356	pc	3	0
5942	35828	pc	9	1
5959	8442	pc	4	0
5959	8444	m	8	1
606	37862	m	116	16
623	8645	app	4	0
623	8735	pc	25	3
629	26515	app	4	0
637	350	m	28	4
645	26517	app	12	1
648	196	m	2	0
648	23087	m	33	4
648	310	app	91	13
652	360	pc	168	24
652	8445	pc	35	5
652	8609	m	37	5
656	14419	pc	11	1
669	148	m	90	12
669	23442	app	6	0
669	36008	m	33	4
6718	14326	m	282	40
6745	798	m	6	0
6752	35136	m	16	2
6752	798	app	15	2
6752	8855	pc	16	2
6760	311	app	204	29
6788	37863	app	2	0
679	118	app	60	8
6793	29389	pc	25	3
6793	360	pc	37	5
6793	8445	pc	30	4
6793	8609	m	61	8
6803	207	m	2	0
6805	35694	app	2	0
686	14001	pc	36	5
686	8558	m	131	18
6921	35136	app	297	42
6921	37864	app	7	1
693	38115	app	2	0
693	8558	app	300	42
696	14354	m	75	10
697	35691	app	20	2
699	26518	pc	2	0
700	14419	pc	122	17
700	186	app	25	3
700	771	pc	1	0
710	130	app	44	6
7133	14502	pc	132	18
7133	22431	app	485	69
7154	36011	m	15	2
7154	36488	app	44	6
722	102	m	270	38
722	128	app	88	12
722	26520	app	6	0
722	8546	app	5	0
725	14502	pc	16	2
725	22431	app	38	5
725	8444	pc	9	1
725	8516	app	147	21
726	14286	pc	6	0
728	609	pc	366	52
7303	102	m	45	6
7303	128	app	8	1
7303	8546	app	21	3
740	14354	m	181	25
7452	26516	m	5	0
7452	8442	app	24	3
7468	199	pc	6	0
751	171	app	43	6
7576	14286	app	213	30
7620	14286	app	685	97
771	133	app	124	17
772	37866	pc	2	0
772	710	m	120	17
772	8659	app	48	6
772	95	pc	646	92
772	97	m	258	36
776	26523	m	9	1
783	26523	app	422	60
783	8523	m	673	96
79	196	m	728	104
79	23087	m	3795	542
79	310	app	1763	251
79	356	pc	54	7
791	14455	pc	132	18
7921	168	pc	79	11
7921	212	pc	36	5
7921	8658	app	4	0
7921	96	m	855	122
801	111	app	366	52
801	203	m	1067	152
811	26521	app	16	2
821	26513	m	88	12
821	8537	pc	12	1
821	8609	app	17	2
831	190	pc	40	5
836	168	app	108	15
836	212	app	36	5
837	130	pc	778	111
8398	23087	m	32	4
8398	350	m	4	0
845	168	pc	1495	213
845	212	pc	386	55
845	37865	pc	2	0
845	8658	app	36	5
845	96	m	10940	1562
8481	148	app	6	0
858	14354	m	81	11
8582	8537	pc	2	0
8582	8609	app	36	5
8601	207	pc	4	0
8694	133	app	88	12
8694	14455	app	608	86
8694	34806	m	2	0
8694	35984	pc	17	2
8694	38116	app	18	2
8716	309	app	2	0
8716	8493	pc	10	1
882	26516	m	142	20
8854	199	pc	5	0
891	8855	app	16	2
901	14526	m	37	5
