sloc1	scate2	ps1	ps1a	as1	clk01	cost1	cash1	dispuser1	dispsub1	realcostuser1	realcostsub1
3489	34323	55	0	0	0	0.0	0.0	0	0	0	0
357	710	44	0	0	0	0.0	0.0	0	0	0	0
357	97	110	0	0	0	0.0	0.0	0	0	0	0
362	37862	10	0	0	0	0.0	0.0	0	0	0	0
367	34806	3	0	0	0	0.0	0.0	0	0	0	0
394	26517	3	0	0	0	0.0	0.0	0	0	0	0
397	310	52	18	39	2	3.36	2.24	2	2	0	0
399	35828	22	0	0	0	0.0	0.0	0	0	0	0
4	203	12220	9037	23507	288	309.29	235.46	3	3	2	2
424	14255	703	0	0	0	0.0	0.0	0	0	0	0
424	24056	36	0	0	0	0.0	0.0	0	0	0	0
424	35694	236	0	0	0	0.0	0.0	0	0	0	0
424	8692	46	0	0	0	0.0	0.0	0	0	0	0
428	234	41	0	0	0	0.0	0.0	0	0	0	0
468	609	60	46	46	0	0.0	0.0	1	1	0	0
469	8855	5	0	0	0	0.0	0.0	0	0	0	0
471	128	184	0	0	0	0.0	0.0	0	0	0	0
471	26520	28	0	0	0	0.0	0.0	0	0	0	0
471	8546	56	37	37	0	0.0	0.0	1	1	0	0
483	26518	80	0	0	0	0.0	0.0	0	0	0	0
500	34807	2	0	0	0	0.0	0.0	0	0	0	0
500	611	51	0	0	0	0.0	0.0	0	0	0	0
531	35721	26	0	0	0	0.0	0.0	0	0	0	0
5333	8645	20	0	0	0	0.0	0.0	0	0	0	0
5334	712	19	0	0	0	0.0	0.0	0	0	0	0
536	207	12	0	0	0	0.0	0.0	0	0	0	0
556	26517	7	0	0	0	0.0	0.0	0	0	0	0
5632	199	66	0	0	0	0.0	0.0	0	0	0	0
5722	234	193	0	0	0	0.0	0.0	0	0	0	0
5756	14326	162	0	0	0	0.0	0.0	0	0	0	0
577	130	16	0	0	0	0.0	0.0	0	0	0	0
5772	798	17	0	0	0	0.0	0.0	0	0	0	0
5853	310	208	78	221	6	0.0	0.0	3	4	0	0
5898	311	89	0	0	0	0.0	0.0	0	0	0	0
5928	34323	20	0	0	0	0.0	0.0	0	0	0	0
5936	37862	0	0	0	0	0.0	0.0	0	0	0	0
5942	311	51	0	0	0	0.0	0.0	0	0	0	0
5958	14539	2	0	0	0	0.0	0.0	0	0	0	0
613	37863	52	0	0	0	0.0	0.0	0	0	0	0
613	8746	79	0	0	0	0.0	0.0	0	0	0	0
618	34807	1	0	0	0	0.0	0.0	0	0	0	0
618	611	31	0	0	0	0.0	0.0	0	0	0	0
623	35981	31	0	0	0	0.0	0.0	0	0	0	0
629	26516	53	0	0	0	0.0	0.0	0	0	0	0
645	26518	2	0	0	0	0.0	0.0	0	0	0	0
648	311	16	0	0	0	0.0	0.0	0	0	0	0
652	35691	33	0	0	0	0.0	0.0	0	0	0	0
6752	186	48	0	0	0	0.0	0.0	0	0	0	0
6770	168	328	0	0	0	0.0	0.0	0	0	0	0
6770	212	131	0	0	0	0.0	0.0	0	0	0	0
6770	37865	1	0	0	0	0.0	0.0	0	0	0	0
679	8537	162	0	0	0	0.0	0.0	0	0	0	0
6793	35691	6	0	0	0	0.0	0.0	0	0	0	0
6803	34807	3	0	0	0	0.0	0.0	0	0	0	0
6803	611	58	0	0	0	0.0	0.0	0	0	0	0
