sloc1	scate2	sloc-scate	online_price	member_price
523	34323	523-34323	7.68	5.76
3251	8516	3251-8516	7.68	5.76
2429	97	2429-97	7.68	5.76
3359	609	3359-609	7.68	5.76
944	23087	944-23087	7.68	5.76
202	343	202-343	7.68	5.76
606	36008	606-36008	7.68	5.76
505	196	505-196	7.68	5.76
2373	8516	2373-8516	7.68	5.76
6793	8659	6793-8659	7.68	5.76
93	8537	93-8537	7.68	5.76
9389	609	9389-609	7.68	5.76
2350	8516	2350-8516	7.68	5.76
385	133	385-133	7.68	5.76
5845	14326	5845-14326	7.68	5.76
9499	95	9499-95	7.68	5.76
2393	156	2393-156	7.68	5.76
5722	97	5722-97	7.68	5.76
6745	14455	6745-14455	7.68	5.76
3237	111	3237-111	7.68	5.76
3163	203	3163-203	7.68	5.76
385	8558	385-8558	7.68	5.76
541	171	541-171	7.68	5.76
2350	234	2350-234	7.68	5.76
556	8493	556-8493	7.68	5.76
10461	234	10461-234	7.68	5.76
910	15520	910-15520	7.68	5.76
910	8719	910-8719	7.68	5.76
1	26517	1-26517	7.68	5.76
3350	8516	3350-8516	7.68	5.76
572	8543	572-8543	7.68	5.76
2047	310	2047-310	7.68	5.76
5733	14455	5733-14455	7.68	5.76
858	36008	858-36008	7.68	5.76
2364	8523	2364-8523	7.68	5.76
9837	96	9837-96	7.68	5.76
783	310	783-310	7.68	5.76
2360	234	2360-234	7.68	5.76
2363	8746	2363-8746	7.68	5.76
5653	14326	5653-14326	7.68	5.76
228	35981	228-35981	7.68	5.76
531	8445	531-8445	7.68	5.76
2	14363	2-14363	7.68	5.76
471	199	471-199	7.68	5.76
385	97	385-97	7.68	5.76
9449	168	9449-168	7.68	5.76
3237	23087	3237-23087	7.68	5.76
5695	22431	5695-22431	7.68	5.76
10564	203	10564-203	7.68	5.76
541	14379	541-14379	7.68	5.76
2378	360	2378-360	7.68	5.76
2299	212	2299-212	7.68	5.76
1005	8537	1005-8537	7.68	5.76
2054	190	2054-190	7.68	5.76
9799	97	9799-97	7.68	5.76
771	8719	771-8719	7.68	5.76
450	34323	450-34323	7.68	5.76
977	23087	977-23087	7.68	5.76
5733	168	5733-168	7.68	5.76
993	8558	993-8558	7.68	5.76
9871	156	9871-156	7.68	5.76
9871	168	9871-168	7.68	5.76
2344	203	2344-203	7.68	5.76
9832	168	9832-168	7.68	5.76
2039	102	2039-102	7.68	5.76
652	8493	652-8493	7.68	5.76
5709	23087	5709-23087	7.68	5.76
6964	8516	6964-8516	7.68	5.76
751	111	751-111	7.68	5.76
342	145	342-145	7.68	5.76
882	8493	882-8493	7.68	5.76
7133	36008	7133-36008	7.68	5.76
2378	8493	2378-8493	7.68	5.76
265	8609	265-8609	7.68	5.76
342	35691	342-35691	7.68	5.76
13951	97	13951-97	7.68	5.76
9736	95	9736-95	7.68	5.76
5	199	5-199	7.68	5.76
2393	95	2393-95	7.68	5.76
2381	96	2381-96	7.68	5.76
497	196	497-196	7.68	5.76
5	8609	5-8609	7.68	5.76
2052	97	2052-97	7.68	5.76
2429	102	2429-102	7.68	5.76
722	343	722-343	7.68	5.76
2393	23087	2393-23087	7.68	5.76
1016	360	1016-360	7.68	5.76
6803	156	6803-156	7.68	5.76
5898	8523	5898-8523	7.68	5.76
10454	609	10454-609	7.68	5.76
5632	26523	5632-26523	7.68	5.76
241	8855	241-8855	7.68	5.76
2344	102	2344-102	7.68	5.76
771	36008	771-36008	7.68	5.76
882	97	882-97	7.68	5.76
5695	97	5695-97	7.68	5.76
9481	111	9481-111	7.68	5.76
858	311	858-311	7.68	5.76
531	710	531-710	7.68	5.76
9837	95	9837-95	7.68	5.76
330	460	330-460	28.56	21.42
463	130	463-130	14.4	10.8
147	96	147-96	223.2	167.4
952	14419	952-14419	14.4	10.8
297	609	297-609	7.92	5.94
297	8516	297-8516	7.92	5.94
293	133	293-133	7.92	5.94
296	8516	296-8516	7.92	5.94
296	310	296-310	7.92	5.94
296	125	296-125	7.92	5.94
297	710	297-710	7.92	5.94
296	111	296-111	7.92	5.94
297	310	297-310	7.92	5.94
293	310	293-310	7.92	5.94
296	609	296-609	7.92	5.94
293	609	293-609	7.92	5.94
296	133	296-133	7.92	5.94
293	156	293-156	7.92	5.94
296	234	296-234	7.92	5.94
297	133	297-133	7.92	5.94
293	125	293-125	7.92	5.94
297	360	297-360	7.92	5.94
296	360	296-360	7.92	5.94
293	8516	293-8516	7.92	5.94
296	14455	296-14455	7.92	5.94
297	128	297-128	7.92	5.94
297	111	297-111	7.92	5.94
293	14455	293-14455	7.92	5.94
297	97	297-97	7.92	5.94
296	611	296-611	7.92	5.94
297	8493	297-8493	7.92	5.94
297	26523	297-26523	7.92	5.94
984	186	984-186	14.4	10.8
710	609	710-609	15.12	11.34
362	14455	362-14455	76.32	57.24
5772	8523	5772-8523	14.4	10.8
158	14354	158-14354	38.88	29.16
12291	8516	12291-8516	14.4	10.8
523	156	523-156	68.16	51.12
2045	212	2045-212	9.6	7.2
202	133	202-133	9.6	7.2
414	26516	414-26516	10.32	7.74
37	14001	37-14001	10.32	7.74
37	35984	37-35984	10.32	7.74
79	609	79-609	115.2	86.4
102	212	102-212	86.64	64.98
7468	156	7468-156	15.12	11.34
5722	14455	5722-14455	10.8	8.1
122	145	122-145	10.8	8.1
740	35984	740-35984	10.8	8.1
2053	8523	2053-8523	33.6	25.2
623	14326	623-14326	12.24	9.18
2053	95	2053-95	60.24	45.18
202	35136	202-35136	18.96	14.22
2037	310	2037-310	12.24	9.18
5853	95	5853-95	34.8	26.1
6788	96	6788-96	11.28	8.46
2347	96	2347-96	11.28	8.46
2397	96	2397-96	11.28	8.46
2380	14000	2380-14000	11.28	8.46
10564	96	10564-96	11.28	8.46
5709	96	5709-96	11.28	8.46
3157	168	3157-168	11.52	8.64
3163	96	3163-96	11.52	8.64
882	14326	882-14326	12.24	9.18
2302	96	2302-96	12.24	9.18
2350	168	2350-168	12	9
7303	8516	7303-8516	12	9
8582	168	8582-168	12	9
6700	102	6700-102	12	9
10506	168	10506-168	12	9
10120	168	10120-168	12	9
10417	168	10417-168	12	9
722	8735	722-8735	12	9
5845	203	5845-203	12	9
3184	8516	3184-8516	12	9
497	710	497-710	12	9
5898	111	5898-111	12	9
8481	609	8481-609	12	9
821	460	821-460	27.12	20.34
837	8608	837-8608	14.4	10.8
2041	609	2041-609	12.24	9.18
483	35828	483-35828	12.24	9.18
10513	96	10513-96	12.24	9.18
2053	8537	2053-8537	12.24	9.18
858	102	858-102	12.24	9.18
722	190	722-190	12.24	9.18
783	311	783-311	12.24	9.18
6729	156	6729-156	12.24	9.18
944	14000	944-14000	12.24	9.18
228	35694	228-35694	12.24	9.18
2360	609	2360-609	12.24	9.18
613	8516	613-8516	12.24	9.18
135	8537	135-8537	12.24	9.18
10513	609	10513-609	12.24	9.18
6964	168	6964-168	12.24	9.18
5853	8516	5853-8516	12.24	9.18
801	14286	801-14286	12.24	9.18
722	8543	722-8543	12.24	9.18
222	8735	222-8735	12.24	9.18
3434	168	3434-168	12.24	9.18
858	212	858-212	12.24	9.18
222	26531	222-26531	12.24	9.18
623	212	623-212	12.24	9.18
450	35694	450-35694	12.24	9.18
10285	96	10285-96	12.24	9.18
772	34323	772-34323	12.24	9.18
801	35694	801-35694	12.24	9.18
497	14419	497-14419	12.24	9.18
652	360	652-360	12.24	9.18
505	311	505-311	12.24	9.18
791	111	791-111	12.24	9.18
2049	14326	2049-14326	12.24	9.18
9617	156	9617-156	12.24	9.18
2037	212	2037-212	12.24	9.18
2429	14326	2429-14326	12.24	9.18
2347	168	2347-168	12.24	9.18
1086	97	1086-97	12.24	9.18
710	111	710-111	12.24	9.18
8973	156	8973-156	12.24	9.18
