sloc1	scate2	zdprice	online_price	member_price	price	diff	range
3	23087	29.1	141.84	106.38	119.292	-22.548	-0.1589678511
3	24056	2.24	3.12	2.34	2.944	-0.176	-0.0564102564103
3	26516	4.52	46.32	34.74	37.96	-8.36	-0.180483592401
3	26517	3.2	26.4	19.8	21.76	-4.64	-0.175757575758
3	26523	4.98	60.96	45.72	49.764	-11.196	-0.183661417323
3	34323	14.63	53.04	39.78	45.358	-7.682	-0.144834087481
3	34807	1.6	25.68	19.26	20.864	-4.816	-0.18753894081
3	35691	5.58	26.4	19.8	22.236	-4.164	-0.157727272727
3	35694	9.85	49.2	36.9	41.33	-7.87	-0.159959349593
3	35721	2.49	36.0	27.0	29.298	-6.702	-0.186166666667
3	35828	8.6	43.2	32.4	36.28	-6.92	-0.160185185185
3	35984	3.98	37.44	28.08	30.748	-6.692	-0.178739316239
3	36008	2.2	21.36	16.02	17.528	-3.832	-0.179400749064
3	37863	2.7	3.12	2.34	3.036	-0.084	-0.0269230769231
3	37864	0.2	14.4	10.8	11.56	-2.84	-0.197222222222
3	41588	2.4	14.4	10.8	12.0	-2.4	-0.166666666667
4	95	363.36	276.96	207.72	294.24	17.28	0.0623916811092
4	96	256.58	307.68	230.76	297.46	-10.22	-0.0332163286531
4	97	4.86	46.32	34.74	38.028	-8.292	-0.179015544041
4	102	33.39	72.24	54.18	64.47	-7.77	-0.107558139535
4	111	54.64	114.48	85.86	102.512	-11.968	-0.104542278127
4	118	2.6	60.48	45.36	48.904	-11.576	-0.191402116402
4	125	250.06	359.28	269.46	337.436	-21.844	-0.0607993765308
4	128	34.73	171.12	128.34	143.842	-27.278	-0.159408602151
4	130	24.44	172.56	129.42	142.936	-29.624	-0.17167362077
4	133	21.76	65.04	48.78	56.384	-8.656	-0.133087330873
4	145	2.19	26.4	19.8	21.558	-4.842	-0.183409090909
4	148	2.46	25.68	19.26	21.036	-4.644	-0.180841121495
4	152	2.91	87.12	65.34	70.278	-16.842	-0.193319559229
4	156	276.25	372.72	279.54	353.426	-19.294	-0.0517654003005
4	168	155.21	118.8	89.1	126.082	7.282	0.0612962962963
4	171	4.71	14.4	10.8	12.462	-1.938	-0.134583333333
4	186	4.06	30.0	22.5	24.812	-5.188	-0.172933333333
4	190	21.74	99.6	74.7	84.028	-15.572	-0.156345381526
4	196	54.34	109.44	82.08	98.42	-11.02	-0.100694444444
4	199	5.65	55.44	41.58	45.482	-9.958	-0.179617604618
4	203	218.34	236.88	177.66	233.172	-3.708	-0.0156534954407
4	207	26.84	141.12	105.84	118.264	-22.856	-0.161961451247
4	212	68.3	150.96	113.22	134.428	-16.532	-0.10951245363
4	234	38.78	108.24	81.18	94.348	-13.892	-0.128344419808
4	309	9.26	52.8	39.6	44.092	-8.708	-0.164924242424
4	310	28.27	153.84	115.38	128.726	-25.114	-0.163247529901
4	311	26.11	142.08	106.56	118.886	-23.194	-0.163246058559
4	314	0.9	14.4	10.8	11.7	-2.7	-0.1875
4	356	2.52	36.0	27.0	29.304	-6.696	-0.186
4	360	69.4	59.76	44.82	61.688	1.928	0.0322623828648
4	460	49.46	66.72	50.04	63.268	-3.452	-0.0517386091127
4	609	113.98	174.72	131.04	162.572	-12.148	-0.0695283882784
4	611	46.65	123.6	92.7	108.21	-15.39	-0.124514563107
4	710	32.59	64.32	48.24	57.974	-6.346	-0.0986629353234
4	798	2.36	46.32	34.74	37.528	-8.792	-0.189810017271
4	8442	5.41	27.84	20.88	23.354	-4.486	-0.161135057471
4	8444		84.24	63.18			
4	8445	18.98	51.12	38.34	44.692	-6.428	-0.125743348983
4	8493	15.02	67.2	50.4	56.764	-10.436	-0.155297619048
4	8516	133.27	168.0	126.0	161.054	-6.946	-0.0413452380952
4	8523	53.18	78.72	59.04	73.612	-5.108	-0.0648882113821
4	8537	6.46	46.32	34.74	38.348	-7.972	-0.172107081174
4	8543	9.14	106.8	80.1	87.268	-19.532	-0.182883895131
4	8546	6.86	45.6	34.2	37.852	-7.748	-0.169912280702
4	8558	9.86	76.08	57.06	62.836	-13.244	-0.174079915878
4	8608	11.32	46.32	34.74	39.32	-7.0	-0.151122625216
4	8658	1.08	50.64	37.98	40.728	-9.912	-0.195734597156
4	8659	11.56	93.36	70.02	77.0	-16.36	-0.175235646958
4	8692	2.4	21.36	16.02	17.568	-3.792	-0.177528089888
4	8719	0.52	14.4	10.8	11.624	-2.776	-0.192777777778
4	8735	14.16	52.8	39.6	45.072	-7.728	-0.146363636364
4	8746	7.77	21.36	16.02	18.642	-2.718	-0.127247191011
4	8752		14.64	10.98			
4	8855	3.96	26.88	20.16	22.296	-4.584	-0.170535714286
4	14000	102.75	284.4	213.3	248.07	-36.33	-0.127742616034
4	14001	4.5	52.8	39.6	43.14	-9.66	-0.182954545455
4	14255		3.12	2.34			
4	14286	14.78	61.92	46.44	52.492	-9.428	-0.152260981912
4	14326	103.37	88.8	66.6	91.714	2.914	0.0328153153153
4	14354	5.46	46.32	34.74	38.148	-8.172	-0.176424870466
4	14379	9.39	51.12	38.34	42.774	-8.346	-0.163262910798
4	14419	10.95	61.92	46.44	51.726	-10.194	-0.164631782946
4	14455	93.49	119.76	89.82	114.506	-5.254	-0.0438710754843
4	14502	11.37	105.6	79.2	86.754	-18.846	-0.178465909091
4	14526	13.31	48.96	36.72	41.83	-7.13	-0.145629084967
4	15520	2.7	52.8	39.6	42.78	-10.02	-0.189772727273
4	23065	62.11	128.88	96.66	115.526	-13.354	-0.103615766605
